電影名稱,類型,上映日期,圖片,預告片
在回家之後重新開始,"愛情,劇情",2021-12-17,https://movies.yahoo.com.tw/i/o/production/movies/December2021/scOM2wPt6TWGbA3hJ1Qv-1080x1528.jpg,https://movies.yahoo.com.tw/video/%E5%9C%A8%E5%9B%9E%E5%AE%B6%E4%B9%8B%E5%BE%8C%E9%87%8D%E6%96%B0%E9%96%8B%E5%A7%8B-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-145251496.html?movie_id=11958
駭客任務：復活,"動作,科幻",2021-12-22,https://movies.yahoo.com.tw/i/o/production/movies/November2021/WgnY1WlMJ2DEK2yUjxVB-1080x1542.jpg,https://movies.yahoo.com.tw/video/%E9%A7%AD%E5%AE%A2%E4%BB%BB%E5%8B%99-%E5%BE%A9%E6%B4%BB-%E5%85%A8%E6%96%B0%E9%A0%90%E5%91%8A-052200384.html?movie_id=11744
一杯熱奶茶的等待,"愛情,劇情",2021-12-24,https://movies.yahoo.com.tw/i/o/production/movies/October2021/mtIpI8rGHjdnqKuirvCt-1080x1543.jpg,https://movies.yahoo.com.tw/video/%E6%9D%AF%E7%86%B1%E5%A5%B6%E8%8C%B6%E7%9A%84%E7%AD%89%E5%BE%85-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-132558324.html?movie_id=11601
四季拉麵物語,紀錄片,2021-12-24,https://movies.yahoo.com.tw/i/o/production/movies/November2021/PvHhwHHQzRRtrJ7UspB8-1080x1527.jpg,https://movies.yahoo.com.tw/video/%E5%9B%9B%E5%AD%A3%E6%8B%89%E9%BA%B5%E7%89%A9%E8%AA%9E-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-093127305.html?movie_id=11630
不想一個人,"愛情,劇情",2021-12-24,https://movies.yahoo.com.tw/i/o/production/movies/November2021/D1p3DZ99fyM94qKhkNlu-1280x1789.jpg,https://movies.yahoo.com.tw/video/%E4%B8%8D%E6%83%B3-%E5%80%8B%E4%BA%BA-%E6%AD%A3%E5%BC%8F%E9%A0%90%E5%91%8A-151109870.html?movie_id=11804
殲獄行動,"動作,冒險",2021-12-24,https://movies.yahoo.com.tw/i/o/production/movies/November2021/VQQSt5V6twe0Xw9uJtua-1080x1543.jpg,https://movies.yahoo.com.tw/video/%E6%AE%B2%E7%8D%84%E8%A1%8C%E5%8B%95-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-090214922.html?movie_id=11826
噩兆,"恐怖,懸疑/驚悚",2021-12-24,https://movies.yahoo.com.tw/i/o/production/movies/December2021/iWmnCnY9nGONysgJNfks-1080x1542.jpg,https://movies.yahoo.com.tw/
阿達一族 2,"動畫,冒險,喜劇",2021-12-30,https://movies.yahoo.com.tw/i/o/production/movies/September2021/vrgcS5Rs816DRIZ7aGm7-1013x1500.jpg,https://movies.yahoo.com.tw/video/%E9%98%BF%E9%81%94-%E6%97%8F-2-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-021903528.html?movie_id=11512
鈦,"劇情,懸疑/驚悚",2021-12-30,https://movies.yahoo.com.tw/i/o/production/movies/December2021/J493IlBhgrO1UntMnyga-1080x1543.jpg,https://movies.yahoo.com.tw/video/%E9%88%A6-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-155905238.html?movie_id=11890
劇場版信號 長期未解決事件搜查班,"劇情,犯罪,懸疑/驚悚",2021-12-30,https://movies.yahoo.com.tw/i/o/production/movies/December2021/wyYk6kORVFuTTXqwdOdS-1080x1542.jpg,https://movies.yahoo.com.tw/video/%E5%8A%87%E5%A0%B4%E7%89%88%E4%BF%A1%E8%99%9F-%E9%95%B7%E6%9C%9F%E6%9C%AA%E8%A7%A3%E6%B1%BA%E4%BA%8B%E4%BB%B6%E6%90%9C%E6%9F%A5%E7%8F%AD-%E4%B8%AD%E6%96%87%E9%A0%90%E5%91%8A-160312422.html?movie_id=11912
